,event,adc
117,61,"[200.0, 199.0, 201.0, 283.0, 343.0, 341.0, 313.0, 281.0, 256.0, 241.0]"
118,62,"[200.0, 197.0, 202.0, 556.0, 804.0, 789.0, 669.0, 538.0, 437.0, 373.0]"
119,62,"[201.0, 198.0, 199.0, 270.0, 318.0, 316.0, 290.0, 265.0, 245.0, 231.0]"
120,62,"[203.0, 201.0, 202.0, 298.0, 364.0, 358.0, 326.0, 291.0, 264.0, 245.0]"
121,63,"[200.0, 200.0, 202.0, 303.0, 371.0, 366.0, 330.0, 295.0, 266.0, 248.0]"
122,63,"[200.0, 201.0, 203.0, 350.0, 452.0, 447.0, 397.0, 342.0, 302.0, 272.0]"
123,64,"[198.0, 199.0, 201.0, 357.0, 469.0, 463.0, 409.0, 352.0, 307.0, 274.0]"
124,64,"[201.0, 201.0, 206.0, 570.0, 825.0, 810.0, 684.0, 552.0, 451.0, 378.0]"
125,67,"[203.0, 202.0, 205.0, 583.0, 843.0, 827.0, 698.0, 562.0, 453.0, 381.0]"
126,67,"[199.0, 201.0, 201.0, 297.0, 366.0, 363.0, 329.0, 295.0, 267.0, 249.0]"
127,69,"[196.0, 194.0, 198.0, 459.0, 647.0, 637.0, 547.0, 453.0, 378.0, 323.0]"
128,70,"[199.0, 200.0, 204.0, 599.0, 877.0, 862.0, 726.0, 581.0, 469.0, 392.0]"
129,70,"[201.0, 202.0, 202.0, 309.0, 379.0, 376.0, 340.0, 302.0, 272.0, 251.0]"
130,71,"[197.0, 198.0, 201.0, 465.0, 652.0, 644.0, 552.0, 455.0, 378.0, 324.0]"
131,71,"[199.0, 201.0, 200.0, 290.0, 355.0, 351.0, 322.0, 292.0, 265.0, 245.0]"
132,72,"[197.0, 198.0, 205.0, 561.0, 809.0, 795.0, 674.0, 545.0, 445.0, 374.0]"
133,72,"[203.0, 204.0, 204.0, 309.0, 380.0, 375.0, 338.0, 303.0, 272.0, 251.0]"
134,73,"[198.0, 200.0, 202.0, 284.0, 341.0, 338.0, 307.0, 279.0, 257.0, 242.0]"
135,73,"[201.0, 200.0, 200.0, 311.0, 389.0, 386.0, 348.0, 306.0, 273.0, 252.0]"
136,74,"[197.0, 195.0, 197.0, 300.0, 373.0, 373.0, 337.0, 297.0, 267.0, 247.0]"
137,75,"[203.0, 202.0, 202.0, 414.0, 566.0, 558.0, 485.0, 407.0, 346.0, 304.0]"
138,75,"[199.0, 198.0, 200.0, 268.0, 315.0, 313.0, 291.0, 263.0, 244.0, 232.0]"
139,76,"[200.0, 202.0, 203.0, 326.0, 418.0, 416.0, 375.0, 328.0, 293.0, 267.0]"
140,76,"[198.0, 199.0, 201.0, 289.0, 349.0, 345.0, 315.0, 284.0, 259.0, 244.0]"
141,77,"[204.0, 206.0, 212.0, 637.0, 934.0, 914.0, 766.0, 610.0, 489.0, 406.0]"
142,77,"[200.0, 200.0, 200.0, 298.0, 366.0, 362.0, 331.0, 297.0, 270.0, 249.0]"
143,77,"[202.0, 204.0, 209.0, 636.0, 926.0, 904.0, 758.0, 605.0, 483.0, 401.0]"
144,78,"[198.0, 196.0, 199.0, 398.0, 540.0, 534.0, 464.0, 390.0, 334.0, 295.0]"
145,78,"[196.0, 200.0, 203.0, 467.0, 648.0, 638.0, 548.0, 453.0, 379.0, 324.0]"
146,79,"[198.0, 198.0, 201.0, 465.0, 652.0, 645.0, 554.0, 458.0, 382.0, 329.0]"
147,79,"[199.0, 201.0, 205.0, 503.0, 716.0, 705.0, 604.0, 496.0, 408.0, 347.0]"
148,81,"[203.0, 202.0, 203.0, 428.0, 596.0, 589.0, 509.0, 425.0, 359.0, 313.0]"
149,81,"[196.0, 198.0, 199.0, 279.0, 337.0, 336.0, 307.0, 277.0, 253.0, 236.0]"
150,82,"[198.0, 198.0, 205.0, 636.0, 946.0, 932.0, 784.0, 626.0, 495.0, 409.0]"
151,82,"[202.0, 200.0, 200.0, 265.0, 310.0, 308.0, 286.0, 262.0, 245.0, 232.0]"
152,82,"[203.0, 200.0, 207.0, 706.0, 1050.0, 1028.0, 856.0, 675.0, 534.0, 439.0]"
153,83,"[201.0, 203.0, 205.0, 451.0, 631.0, 624.0, 538.0, 447.0, 371.0, 320.0]"
154,83,"[197.0, 203.0, 207.0, 491.0, 694.0, 681.0, 582.0, 482.0, 399.0, 342.0]"
155,84,"[199.0, 200.0, 203.0, 510.0, 731.0, 718.0, 615.0, 502.0, 412.0, 346.0]"
